,SPY_high,SPY_low,ATR,weekly_range
0,209.7295,207.2,0.0,0.0
1,208.289,205.78,0.0,0.0
2,208.68,204.18,0.0,0.0
3,207.43,205.14,0.0,0.0
4,204.14,201.51,0.0,8.21950000000001
5,193.41,189.82,2.827142857142854,0.0
6,194.55,191.14,2.9378571428571427,0.0
7,194.86,188.38,3.2364285714285734,0.0
8,193.26,187.66,3.4571428571428595,0.0
9,188.76,185.52,3.847142857142856,9.340000000000003
10,194.58,191.84,4.4378571428571485,0.0
11,191.97,189.54,4.487857142857147,0.0
12,191.78,187.1,4.359285714285718,0.0
13,192.75,189.96,4.158571428571433,0.0
14,191.6696,187.2,4.022828571428578,7.480000000000018
15,186.12,182.8,4.1135428571428605,0.0
16,186.94,183.2,3.877828571428576,0.0
17,188.34,185.12,3.8056857142857177,0.0
18,184.1,181.09,3.817114285714289,0.0
19,186.65,183.96,3.851400000000002,7.25
20,196.23,193.33,2.9971428571428578,0.0
21,198.21,194.4542,3.0621428571428573,0.0
22,199.06,197.25,2.961428571428572,0.0
23,199.795,198.11,2.7803571428571416,0.0
24,201.35,199.03,2.687499999999998,8.019999999999982
25,201.07,199.25,2.591785714285712,0.0
26,199.92,198.21,2.513928571428569,0.0
27,199.79,198.43,2.505357142857138,0.0
28,201.07,197.38,2.6453571428571365,0.0
29,202.81,199.5179,2.669792857142852,5.430000000000007
30,203.04,201.77,2.571221428571422,0.0
31,202.5307,201.05,2.37627142857142,0.0
32,203.82,201.55,2.344128571428562,0.0
33,205.23,202.77,2.3926999999999885,0.0
34,204.78,203.8,2.2562714285714174,4.179999999999978
35,207.07,205.89,1.7254071428571365,0.0
36,206.2642,203.89,1.7910714285714238,0.0
37,206.49,203.98,1.8082142857142836,0.0
38,205.56,203.09,1.8732142857142853,0.0
39,205.85,203.87,1.9439285714285717,3.9799999999999898
40,208.66,207.54,1.8515785714285715,0.0
41,209.52,208.36,1.7551499999999984,0.0
42,209.81,208.05,1.6401499999999973,0.0
43,209.76,206.96,1.6987214285714256,0.0
44,207.13,205.03,1.7151499999999962,4.780000000000001
45,208.18,206.41,1.6672928571428522,0.0
46,206.8,205.28,1.713007142857139,0.0
47,205.85,204.42,1.7637214285714253,0.0
48,205.98,204.47,1.816428571428568,0.0
49,205.77,203.88,1.788571428571426,4.300000000000011
50,206.4,205.36,1.7728571428571402,0.0
51,208.5,206.64,1.8499999999999983,0.0
52,208.54,206.5,1.8814285714285697,0.0
53,207.4899,205.37,1.93427857142857,0.0
54,206.86,204.38,2.009992857142856,4.159999999999997
55,207.34,204.89,2.114278571428571,0.0
56,206.8,204.23,2.172850000000001,0.0
57,206.3,203.63,2.163564285714289,0.0
58,204.54,202.78,2.144992857142861,0.0
59,206.1,204.86,2.1435642857142887,4.560000000000002
60,205.84,204.985,2.0082071428571453,0.0
61,208.24,206.14,2.1060642857142886,0.0
62,209.77,207.8691,2.133985714285718,0.0
63,209.71,208.97,2.051842857142861,0.0
64,210.25,209.47,2.0425571428571465,5.264999999999986
65,211.77,210.51,1.7904285714285717,0.0
66,212.34,211.5,1.6740000000000006,0.0
67,212.52,211.6899,1.542578571428572,0.0
68,212.22,211.19,1.47615,0.0
69,210.86,209.43,1.5297214285714287,3.0900000000000034
70,210.37,208.35,1.6129357142857157,0.0
71,208.74,206.9199,1.5229428571428574,0.0
72,209.36,207.53,1.517878571428572,0.0
73,208.57,205.59,1.6778785714285707,0.0
74,207.2,205.75,1.7985928571428562,4.780000000000001
75,209.61,207.75,1.910735714285715,0.0
76,208.92,207.78,1.8785928571428567,0.0
77,209.5,207.93,1.8700142857142847,0.0
78,210.87,209.27,1.9257285714285726,0.0
79,210.8463,202.72,2.401442857142858,8.150000000000006
80,201.6,198.65,2.6535857142857133,0.0
81,203.23,201.12,2.8585785714285685,0.0
82,206.93,204.72,3.037864285714284,0.0
83,209.54,206.56,3.064292857142856,0.0
84,210.49,209.29,3.0057214285714275,11.840000000000003
85,214.07,212.95,2.95567857142857,0.0
86,215.3,214.25,3.0063928571428584,0.0
87,215.45,214.35,2.9728214285714296,0.0
88,216.67,215.66,2.8942499999999995,0.0
89,217.0125,215.308,2.433857142857142,4.0625
90,216.6,215.67,2.180285714285714,0.0
91,216.23,215.63,1.9717142857142866,0.0
92,217.37,216.24,1.791714285714286,0.0
93,217.22,215.75,1.6838571428571438,0.0
94,217.3,216.1,1.6838571428571438,1.740000000000009
95,217.06,215.97,1.6267142857142878,0.0
96,217.17,215.76,1.531714285714287,0.0
97,217.27,215.62,1.5053214285714307,0.0
98,217.11,215.75,1.3596071428571455,0.0
99,217.54,216.13,1.3624642857142877,1.9199999999999875
100,217.65,216.405,1.3192500000000007,0.0
101,216.83,214.57,1.4092500000000021,0.0
102,216.245,215.13,1.3646071428571471,0.0
103,216.78,214.25,1.4235714285714332,0.0
104,218.23,217.07,1.4857142857142887,3.9799999999999898
105,218.52,217.74,1.4857142857142887,0.0
106,218.76,217.8,1.4692857142857159,0.0
107,218.4038,217.23,1.448128571428573,0.0
108,218.94,217.95,1.4559857142857149,0.0
109,218.71,217.99,1.4159857142857146,1.710000000000008
110,219.5,218.88,1.3931285714285724,0.0
111,218.68,217.96,1.3559857142857143,0.0
112,218.53,217.02,1.3666999999999985,0.0
113,218.9,218.21,1.315271428571427,0.0
114,218.75,217.74,1.3091999999999981,2.4799999999999898
115,218.8,217.83,1.2099142857142826,0.0
116,219.6,218.9,1.208128571428568,0.0
117,218.91,217.36,1.139557142857139,0.0
118,218.19,217.22,1.0802714285714257,0.0
119,219.12,216.25,1.2295571428571404,3.3499999999999943
120,218.665,217.4,1.259914285714284,0.0
121,218.59,217.35,1.264642857142856,0.0
122,217.75,216.465,1.279285714285712,0.0
123,217.73,216.03,1.3492857142857113,0.0
124,218.87,217.7,1.3785714285714252,2.8400000000000034
125,214.88,213.03,2.313928571428566,0.0
126,214.59,213.38,2.311785714285709,0.0
127,216.03,213.44,2.3899999999999966,0.0
128,217.53,216.71,2.390714285714284,0.0
129,216.88,215.88,2.37642857142857,4.5
130,215.23,214.01,2.4278571428571434,0.0
131,215.68,213.62,2.509285714285716,0.0
132,216.82,214.71,2.59857142857143,0.0
133,216.87,214.04,2.4250000000000034,0.0
134,217.12,215.36,2.277857142857146,3.5
135,216.04,215.04,2.0892857142857184,0.0
136,216.17,213.99,2.087857142857146,0.0
137,216.13,215.33,1.9785714285714318,0.0
138,216.04,214.735,1.878214285714287,0.0
139,216.3,214.19,1.8967857142857167,2.3100000000000023
140,216.7,215.985,1.928928571428573,0.0
141,215.74,212.58,1.9982142857142853,0.0
142,214.32,213.01,1.9696428571428564,0.0
143,213.59,211.21,2.055357142857141,0.0
144,214.69,213.03,2.033928571428569,5.489999999999981
145,213.39,212.17,1.9739285714285688,0.0
146,214.31,213.27,1.9610714285714275,0.0
147,214.64,213.6,1.833214285714283,0.0
148,214.53,213.11,1.7603571428571396,0.0
149,214.08,212.76,1.764642857142854,2.469999999999999
150,215.32,214.48,1.7046428571428558,0.0
151,214.98,213.98,1.6724999999999994,0.0
152,214.42,212.93,1.6857142857142853,0.0
153,214.62,213.08,1.644999999999998,0.0
154,213.93,211.71,1.6849999999999983,3.609999999999985
155,213.19,212.36,1.4885714285714269,0.0
156,212.99,209.6,1.6371428571428563,0.0
157,211.1,209.23,1.5921428571428566,0.0
158,210.24,208.46,1.5992857142857133,0.0
159,209.89,208.38,1.6199999999999986,4.810000000000002
160,213.19,211.3,1.8135714285714255,0.0
161,214.77,212.38,1.9099999999999986,0.0
162,217.1,212.34,2.1485714285714272,0.0
163,218.31,215.22,2.2749999999999977,0.0
164,216.7,215.32,2.2935714285714255,7.009999999999991
165,217.27,215.72,2.3328571428571405,0.0
166,218.28,216.8,2.347142857142856,0.0
167,218.14,217.42,2.298571428571429,0.0
168,219.06,217.92,2.2250000000000005,0.0
169,219.27,218.29,2.2357142857142884,3.5500000000000114
170,226.96,225.76,1.3965785714285712,0.0
171,228.34,227.0,1.4701499999999998,0.0
172,228.23,225.365,1.602649999999999,0.0
173,227.81,225.8904,1.67907857142857,0.0
174,226.08,224.67,1.7490785714285713,3.670000000000016
175,227.0701,226.4163,1.2931214285714288,0.0
176,227.45,226.01,1.3259785714285701,0.0
177,227.1,225.59,1.3595499999999987,0.0
178,226.75,224.955,1.4641928571428562,0.0
179,227.4,226.69,1.4656214285714262,2.494999999999976
180,228.2,226.41,1.4735714285714303,0.0
181,227.6,226.32,1.4621428571428592,0.0
182,228.59,226.94,1.47214285714286,0.0
183,228.1,226.82,1.4103571428571473,0.0
184,229.55,228.46,1.475357142857147,3.230000000000018
185,229.326,228.54,1.4432142857142907,0.0
186,229.6556,228.72,1.445757142857147,0.0
187,229.39,228.31,1.4093285714285742,0.0
188,230.95,229.52,1.4314714285714294,0.0
189,231.77,230.6216,1.4054000000000022,3.460000000000008
190,237.31,236.35,1.3009857142857137,0.0
191,236.95,236.015,1.3123714285714303,0.0
192,240.32,238.37,1.510228571428574,0.0
193,239.57,238.21,1.500228571428575,0.0
194,238.61,237.73,1.4795142857142898,4.305000000000007
195,238.12,237.01,1.4688000000000037,0.0
196,237.77,236.76,1.4302285714285756,0.0
197,237.64,236.4,1.3938000000000028,0.0
198,237.24,235.74,1.4077285714285739,0.0
199,238.02,236.59,1.427014285714289,2.3799999999999955
200,237.86,237.24,1.3570142857142895,0.0
201,237.24,236.19,1.4220142857142914,0.0
202,239.44,237.29,1.5077285714285762,0.0
203,239.2,238.1,1.4875000000000032,0.0
204,237.97,237.03,1.522500000000002,3.25
205,236.03,233.91,1.8432142857142841,0.0
206,235.58,234.555,1.7349999999999994,0.0
207,237.39,234.54,1.8599999999999994,0.0
208,236.04,234.425,1.871785714285713,0.0
209,236.0,234.64,1.8946428571428555,3.4799999999999898
210,237.41,234.5628,1.8162285714285693,0.0
211,238.95,237.81,1.8701571428571404,0.0
212,239.53,238.35,1.750871428571427,0.0
213,238.95,237.98,1.7047999999999999,0.0
214,238.93,237.93,1.6790857142857132,4.967199999999991
215,239.17,238.195,1.6480142857142823,0.0
216,238.98,238.3,1.5537285714285665,0.0
217,238.8775,237.7,1.5456928571428534,0.0
218,238.9225,237.78,1.4858714285714245,0.0
219,239.72,238.68,1.413014285714281,2.0200000000000102
220,239.92,239.17,1.3601571428571393,0.0
221,240.19,239.04,1.3158714285714268,0.0
222,239.87,239.15,1.1955142857142838,0.0
223,239.57,238.13,1.2333714285714268,0.0
224,239.4273,238.67,1.0840928571428574,2.0600000000000023
225,240.44,239.45,1.061235714285715,0.0
226,240.67,239.63,1.0512357142857138,0.0
227,238.64,235.75,1.291235714285715,0.0
228,237.75,235.43,1.3855214285714286,0.0
229,239.08,237.27,1.4726642857142878,5.239999999999981
230,239.71,238.82,1.5240928571428611,0.0
231,240.24,239.51,1.4921285714285761,0.0
232,240.73,239.93,1.4676642857142883,0.0
233,242.08,240.96,1.4983785714285744,0.0
234,241.9,241.45,1.4769500000000042,3.2600000000000193
235,244.3,243.76,1.4621428571428592,0.0
236,243.98,243.12,1.4500000000000028,0.0
237,243.92,242.83,1.2185714285714286,0.0
238,244.33,243.17,1.1357142857142881,0.0
239,245.01,241.95,1.1892857142857167,3.0600000000000023
240,243.42,242.38,1.16357142857143,0.0
241,244.61,243.5799,1.2007142857142858,0.0
242,244.87,243.29,1.2564285714285737,0.0
243,243.91,242.36,1.2857142857142878,0.0
244,242.83,241.6337,1.4061642857142869,3.2363
245,244.73,243.48,1.5104500000000018,0.0
246,244.26,242.99,1.541164285714286,0.0
247,243.59,242.41,1.4868785714285724,0.0
248,243.53,242.64,1.4597357142857175,0.0
249,243.51,242.47,1.4954500000000013,2.319999999999993
250,244.38,243.045,1.5286642857142871,0.0
251,243.38,241.31,1.5986642857142885,0.0
252,243.715,242.23,1.686164285714286,0.0
253,243.72,239.955,1.7365214285714277,0.0
254,242.71,241.575,1.7593785714285721,4.424999999999983
255,242.8,241.76,1.6989285714285711,0.0
256,242.55,240.85,1.7010714285714303,0.0
257,244.2,243.3,1.7603571428571436,0.0
258,244.55,243.76,1.753214285714287,0.0
259,245.97,244.31,1.7975000000000014,5.1200000000000045
260,245.91,245.33,1.7435714285714283,0.0
261,245.72,244.67,1.6707142857142867,0.0
262,247.0,246.01,1.5960714285714306,0.0
263,247.42,246.47,1.395000000000002,0.0
264,246.91,246.18,1.3635714285714289,2.75
265,246.98,246.28,1.3007142857142864,0.0
266,247.8,247.16,1.277142857142859,0.0
267,247.79,247.13,1.1507142857142867,0.0
268,248.0,245.68,1.1928571428571442,0.0
269,247.06,246.13,1.1949999999999992,2.319999999999993
270,247.48,246.53,1.1414285714285686,0.0
271,247.5,246.716,1.0538571428571402,0.0
272,247.6,246.37,1.0852857142857093,0.0
273,247.34,246.64,1.023857142857139,0.0
274,247.79,246.97,1.0417142857142818,1.4199999999999875
275,247.87,247.37,1.0024285714285668,0.0
276,248.91,246.83,1.0552857142857082,0.0
277,247.31,246.06,1.0767142857142804,0.0
278,246.44,243.7,1.2645714285714251,0.0
279,244.8,243.75,1.2895714285714266,5.210000000000008
280,246.79,245.55,1.4102857142857101,0.0
281,247.0,246.16,1.4231428571428535,0.0
282,247.57,246.45,1.3374285714285687,0.0
283,246.6,243.09,1.5359999999999974,0.0
284,244.189,242.2,1.610214285714284,5.3700000000000045
285,243.2,241.83,1.652071428571426,0.0
286,245.62,243.55,1.758499999999998,0.0
287,245.05,244.16,1.7927857142857115,0.0
288,245.18,243.75,1.835642857142856,0.0
289,245.61,244.39,1.9156428571428563,3.789999999999992
290,245.2,244.09,1.8463571428571421,0.0
291,245.15,242.93,1.9156428571428563,0.0
292,246.32,244.62,1.7834999999999976,0.0
293,247.77,246.0473,1.8342142857142838,0.0
294,248.33,247.67,1.7034999999999993,5.400000000000006
295,250.12,249.28,1.4071428571428604,0.0
296,250.07,249.6,1.2821428571428604,0.0
297,250.19,248.92,1.2514285714285762,0.0
298,249.98,249.185,1.1882142857142892,0.0
299,249.63,249.02,1.1717857142857164,1.2700000000000102
300,249.5532,248.08,1.0705857142857147,0.0
301,249.7,248.805,1.0473714285714277,0.0
302,250.49,248.87,1.1009428571428563,0.0
303,250.44,249.63,1.1009428571428563,0.0
304,251.32,250.13,0.991657142857142,3.2399999999999807
305,252.32,251.2926,1.0066571428571425,0.0
306,252.89,252.23,1.009514285714285,0.0
307,253.44,252.56,1.020942857142856,0.0
308,254.68,253.196,1.020942857142856,0.0
309,254.7008,253.85,1.0152857142857121,3.4081999999999937
310,254.7,253.65,1.0567142857142824,0.0
311,255.05,253.98,1.0445714285714263,0.0
312,255.02,254.32,1.0320714285714274,0.0
313,255.06,254.365,1.0381428571428566,0.0
314,255.27,254.64,0.9779142857142874,1.6200000000000045
315,255.51,254.82,0.9632714285714314,0.0
316,255.52,254.98,0.8861285714285755,0.0
317,255.95,255.5,0.862557142857146,0.0
318,255.83,254.35,0.8832714285714331,0.0
319,257.14,255.7744,0.9029571428571452,2.789999999999992
320,257.51,256.02,0.9622428571428604,0.0
321,256.83,256.15,0.9508142857142872,0.0
322,256.31,254.0,1.0251000000000008,0.0
323,256.3,255.48,1.0364714285714314,0.0
324,257.89,255.6254,1.1236142857142883,3.8899999999999864
325,257.6,256.41,1.137899999999998,0.0
326,257.44,256.805,1.1371857142857107,0.0
327,258.43,257.07,1.1846857142857121,0.0
328,257.75,256.19,1.251114285714282,0.0
329,258.5,257.3,1.2875428571428529,2.3100000000000023
330,259.0,258.22,1.3046857142857067,0.0
331,259.35,258.09,1.3603999999999965,0.0
332,259.22,258.15,1.3311142857142844,0.0
333,258.39,256.36,1.4300000000000008,0.0
334,258.2926,257.37,1.3894714285714278,2.990000000000009
335,258.59,257.27,1.4323285714285723,0.0
336,257.85,256.52,1.3787571428571437,0.0
337,257.22,255.63,1.4566142857142867,0.0
338,259.04,257.4748,1.4801857142857184,0.0
339,258.5882,257.77,1.448042857142866,3.410000000000025
340,266.38,265.4793,1.8361785714285719,0.0
341,267.32,266.345,1.7699428571428573,0.0
342,267.56,266.65,1.793514285714289,0.0
343,267.22,265.6,1.8578000000000015,0.0
344,267.04,265.39,1.9220857142857182,2.170000000000016
345,274.1,272.98,1.4067857142857219,0.0
346,275.25,274.081,1.3525000000000043,0.0
347,274.42,272.92,1.3653571428571476,0.0
348,276.12,274.56,1.3910714285714343,0.0
349,278.11,276.0819,1.439150000000004,5.189999999999998
350,286.43,284.5,2.1843999999999943,0.0
351,284.736,281.22,2.34054285714285,0.0
352,283.3,280.68,2.4119714285714218,0.0
353,283.06,280.68,2.4391142857142785,0.0
354,280.23,275.41,2.734964285714276,11.019999999999982
355,275.85,263.31,3.351392857142851,0.0
356,269.7,258.7,3.917107142857138,0.0
357,272.36,267.58,4.159964285714283,0.0
358,268.17,257.59,4.824964285714283,0.0
359,263.61,252.92,5.40425,22.930000000000035
360,278.01,275.26,5.578178571428585,0.0
361,278.92,274.36,5.118178571428585,0.0
362,276.19,271.29,5.126750000000009,0.0
363,273.17,266.0,4.883178571428579,0.0
364,269.72,264.82,4.469607142857151,14.100000000000023
365,272.89,267.61,4.4531785714285785,0.0
366,273.39,271.18,4.3746071428571485,0.0
367,273.18,270.2,4.180321428571436,0.0
368,274.24,272.42,4.005321428571433,0.0
369,278.87,275.34,4.111428571428576,11.259999999999991
370,279.91,278.0801,4.0157071428571465,0.0
371,280.41,276.03,3.98713571428572,0.0
372,278.02,274.67,3.9828500000000013,0.0
373,276.61,274.43,3.830707142857144,0.0
374,275.39,274.14,3.684278571428572,6.270000000000039
375,263.13,254.67,4.931835714285713,0.0
376,261.31,256.84,4.938264285714283,0.0
377,264.355,256.6,5.252907142857142,0.0
378,266.64,264.32,5.317192857142855,0.0
379,265.11,258.0,5.773621428571425,11.969999999999999
380,267.89,265.35,3.881071428571423,0.0
381,267.9762,261.28,3.8054428571428542,0.0
382,264.13,260.85,3.8197285714285676,0.0
383,267.2452,264.29,3.5322428571428555,0.0
384,267.34,265.5,3.2979571428571433,7.126199999999983
385,267.89,264.43,3.1850999999999976,0.0
386,265.1,262.11,3.237957142857141,0.0
387,265.68,262.76,3.2150999999999987,0.0
388,263.36,259.05,3.2708142857142826,0.0
389,266.7892,261.15,3.45575714285714,8.839999999999975
390,268.02,266.11,3.3457571428571384,0.0
391,267.325,265.15,3.3989714285714245,0.0
392,269.865,267.09,3.418614285714284,0.0
393,272.39,270.22,3.378614285714284,0.0
394,273.15,271.58,3.309328571428572,8.0
395,274.08,272.36,2.9538857142857102,0.0
396,271.61,270.03,2.9303142857142865,0.0
397,272.76,271.11,2.7906571428571403,0.0
398,273.23,271.13,2.8092285714285725,0.0
399,272.03,270.93,2.640657142857143,4.050000000000011
400,273.98,271.3512,2.6163714285714303,0.0
401,274.25,272.24,2.5513714285714286,0.0
402,273.39,270.99,2.4149428571428553,0.0
403,273.22,270.78,2.1964285714285716,0.0
404,272.86,271.58,2.1450000000000022,3.4700000000000273
405,275.185,274.26,2.4392857142857207,0.0
406,275.53,274.18,2.3250000000000006,0.0
407,277.52,275.09,2.3800000000000034,0.0
408,278.28,276.34,2.3685714285714305,0.0
409,278.25,276.66,2.403571428571431,4.099999999999966
410,279.37,278.31,2.298571428571429,0.0
411,279.33,278.19,2.2364285714285717,0.0
412,279.48,277.8,2.1850000000000023,0.0
413,279.33,278.0599,2.093571428571429,0.0
414,277.51,275.35,2.243571428571426,4.1299999999999955
415,276.7,274.95,2.085714285714285,0.0
416,275.75,273.53,2.009999999999999,0.0
417,276.72,275.59,1.928928571428571,0.0
418,275.98,273.68,1.878928571428572,0.0
419,275.785,274.49,1.8760714285714317,3.1900000000000546
420,273.6162,269.1,2.1825000000000045,0.0
421,272.56,270.79,2.1353571428571456,0.0
422,273.865,269.18,2.3314285714285745,0.0
423,271.75,268.49,2.45071428571429,0.0
424,273.66,271.1495,2.5642857142857207,5.375
425,277.96,276.5,2.8232142857142923,0.0
426,279.01,278.08,2.686071428571434,0.0
427,278.04,276.52,2.7689285714285745,0.0
428,279.43,277.6,2.7882142857142873,0.0
429,279.93,278.66,2.768571428571428,3.430000000000007
430,279.803,278.84,2.434500000000002,0.0
431,280.91,278.41,2.4866428571428605,0.0
432,281.18,280.06,2.2320000000000033,0.0
433,280.74,279.46,2.113428571428577,0.0
434,280.48,279.5,1.9855714285714328,2.769999999999982
435,280.43,279.06,1.8834285714285752,0.0
436,282.56,280.63,1.8691428571428617,0.0
437,284.37,281.28,1.9270000000000047,0.0
438,284.11,283.09,1.7766428571428645,0.0
439,283.82,280.38,1.8409285714285812,5.310000000000002
440,281.69,279.36,1.9280714285714364,0.0
441,282.02,280.38,1.905928571428579,0.0
442,282.13,280.1315,1.8651071428571495,0.0
443,282.58,279.16,2.0186785714285764,0.0
444,283.6577,282.33,2.0447285714285743,4.497699999999952
445,284.99,283.2015,1.9939071428571455,0.0
446,286.01,285.24,2.0117642857142886,0.0
447,285.91,284.94,1.9667642857142889,0.0
448,285.97,284.915,1.9721214285714308,0.0
449,284.055,282.36,2.0678357142857147,3.6499999999999773
450,284.16,281.77,2.069978571428574,0.0
451,284.17,282.05,2.000692857142858,0.0
452,282.54,280.16,2.194978571428566,0.0
453,285.04,283.36,2.1821214285714268,0.0
454,285.5601,283.37,2.1721285714285687,5.400099999999952
455,285.97,285.06,2.0892714285714282,0.0
456,287.31,285.7135,2.0636642857142857,0.0
457,286.76,285.575,1.9040214285714316,0.0
458,286.94,285.43,1.9170428571428602,0.0
459,287.67,286.38,1.9235785714285742,2.6100000000000136
460,289.9,288.68,1.9964357142857156,0.0
461,290.4175,289.4,1.999828571428574,0.0
462,291.74,289.8854,2.0569428571428596,0.0
463,291.36,289.63,1.9955142857142911,0.0
464,290.81,289.29,1.9333714285714296,3.0600000000000023
465,290.86,289.03,1.7782500000000059,0.0
466,291.58,289.55,1.8655714285714322,0.0
467,291.69,290.825,1.7948857142857182,0.0
468,293.94,291.2363,1.8570285714285717,0.0
469,293.22,291.81,1.8748857142857145,4.910000000000025
470,291.5,290.37,1.8741714285714295,0.0
471,291.65,290.4833,1.820364285714285,0.0
472,292.24,289.41,1.8446499999999975,0.0
473,291.91,290.1,1.8475071428571417,0.0
474,291.28,289.95,1.8396499999999978,2.829999999999984
475,292.93,290.98,1.8135785714285686,0.0
476,292.355,291.14,1.7882214285714286,0.0
477,293.21,291.32,1.7861928571428547,0.0
478,291.24,287.66,1.9854785714285705,0.0
479,290.27,286.22,2.142621428571423,6.989999999999952
480,288.22,285.5,2.1769071428571385,0.0
481,288.86,286.77,2.26440714285714,0.0
482,286.91,277.88,2.7501214285714264,0.0
483,278.9,270.36,3.2336928571428536,0.0
484,277.09,272.37,3.4694071428571363,18.5
485,277.04,274.3,3.581785714285709,0.0
486,280.82,276.07,3.8382142857142827,0.0
487,281.15,277.56,3.9496428571428503,0.0
488,280.07,274.97,4.24607142857142,0.0
489,279.3,275.47,4.361785714285706,6.849999999999966
490,277.36,274.41,4.485714285714274,0.0
491,274.87,268.61,4.807857142857131,0.0
492,273.76,264.7,5.164999999999988,0.0
493,271.81,266.23,5.339285714285706,0.0
494,271.0,262.29,5.767142857142845,15.069999999999993
495,270.25,259.85,6.360714285714271,0.0
496,268.12,263.12,6.037857142857129,0.0
497,273.23,270.12,5.817857142857134,0.0
498,273.73,270.38,5.705714285714281,0.0
499,275.23,269.59,5.912857142857141,15.379999999999995
500,274.01,271.35,5.644285714285709,0.0
501,275.3,273.25,5.534285714285711,0.0
502,281.1,277.08,5.570000000000001,0.0
503,281.22,279.22,5.439285714285717,0.0
504,279.24,276.18,5.53714285714286,9.870000000000005
505,277.46,271.99,5.49214285714286,0.0
506,275.325,271.25,5.136071428571431,0.0
507,274.61,268.45,5.112500000000003,0.0
508,273.54,267.0102,4.956771428571435,0.0
509,274.75,271.21,4.466771428571438,10.449799999999982
510,265.1613,258.62,5.317578571428571,0.0
511,267.87,262.48,5.203864285714283,0.0
512,269.0,265.37,5.126721428571423,0.0
513,267.49,264.12,5.151007142857139,0.0
514,264.03,259.85,5.406007142857139,10.379999999999995
515,255.95,251.69,7.104321428571429,0.0
516,257.31,254.0,6.8318214285714305,0.0
517,258.91,256.19,6.692535714285719,0.0
518,259.16,255.5,6.236107142857151,0.0
519,259.0098,257.03,5.879664285714294,7.470000000000027
520,263.83,261.79,3.280457142857147,0.0
521,264.55,262.48,3.1918857142857178,0.0
522,268.52,264.25,3.3625999999999983,0.0
523,270.47,267.27,3.329742857142857,0.0
524,271.2,269.18,3.3326142857142833,9.409999999999968
525,272.03,269.36,3.339757142857138,0.0
526,273.44,271.88,3.215471428571423,0.0
527,273.34,271.92,3.2014285714285626,0.0
