,SPY_high,SPY_low,KAMA,DYMI,weekly_range
0,209.7295,207.2,0.0,0.0,0.0
1,208.289,205.78,0.0,0.0,0.0
2,208.68,204.18,0.0,0.0,0.0
3,207.43,205.14,0.0,0.0,0.0
4,204.14,201.51,0.0,0.0,8.21950000000001
5,193.41,189.82,198.50008393524212,1.9908120452493705,0.0
6,194.55,191.14,197.67766522234464,21.569408680330938,0.0
7,194.86,188.38,194.93948282396772,25.72996518268556,0.0
8,193.26,187.66,194.41642998895065,15.280460351081729,0.0
9,188.76,185.52,193.1780043637975,28.131697910588528,9.340000000000003
10,194.58,191.84,190.5796010389417,58.04606038873881,0.0
11,191.97,189.54,190.5733130820057,56.231221313940424,0.0
12,191.78,187.1,190.60132591786484,51.63397785633669,0.0
13,192.75,189.96,190.63642640647586,51.553242050596964,0.0
14,191.6696,187.2,190.58831976176637,57.17980511861164,7.480000000000018
15,186.12,182.8,190.50317322050873,46.32240333557655,0.0
16,186.94,183.2,190.25837207898465,42.10427485959205,0.0
17,188.34,185.12,190.1252875506573,40.994919178613706,0.0
18,184.1,181.09,189.6244990498689,35.11788622688732,0.0
19,186.65,183.96,189.32781902277293,32.41051988237494,7.25
20,196.23,193.33,191.96469514024366,71.76191033462787,0.0
21,198.21,194.4542,192.6409366973631,64.431232086704,0.0
22,199.06,197.25,193.15719066602995,73.36027521497739,0.0
23,199.795,198.11,193.92712110764995,78.32597358371949,0.0
24,201.35,199.03,194.7370315507305,77.42206784833789,8.019999999999982
25,201.07,199.25,195.27027848326802,76.40452085205669,0.0
26,199.92,198.21,195.57504302563882,74.60810756451957,0.0
27,199.79,198.43,195.96203288728427,63.294023083731645,0.0
28,201.07,197.38,196.19756194729112,66.34817759697069,0.0
29,202.81,199.5179,197.07846410499704,63.477451041348786,5.430000000000007
30,203.04,201.77,198.1880550057513,77.61050732866869,0.0
31,202.5307,201.05,198.5823283462348,75.4072847021875,0.0
32,203.82,201.55,199.0949303202331,70.83704132854713,0.0
33,205.23,202.77,199.78284125626226,75.30158720413591,0.0
34,204.78,203.8,200.22729832206542,82.7662423542888,4.179999999999978
35,207.07,205.89,203.41563156883322,73.92289614116777,0.0
36,206.2642,203.89,203.42293291930235,68.60693138751978,0.0
37,206.49,203.98,203.5016841802174,48.57636184784102,0.0
38,205.56,203.09,203.50529343401084,58.467015430040966,0.0
39,205.85,203.87,203.5211000655247,45.45914545088004,3.9799999999999898
40,208.66,207.54,206.62609778740318,67.0197071323957,0.0
41,209.52,208.36,206.9011463228146,59.214444487684155,0.0
42,209.81,208.05,207.03135099274343,62.21135570078183,0.0
43,209.76,206.96,207.03670184209088,72.76919654309707,0.0
44,207.13,205.03,207.01251019058662,19.428230797552303,4.780000000000001
45,208.18,206.41,207.03730837173376,15.852995803351675,0.0
46,206.8,205.28,206.94993683510916,46.00384073914919,0.0
47,205.85,204.42,206.68609618211156,37.50368589300199,0.0
48,205.98,204.47,206.50204076898393,33.03915065532621,0.0
49,205.77,203.88,206.4457925221748,28.32431066517205,4.300000000000011
50,206.4,205.36,206.4154845630767,32.86690725460036,0.0
51,208.5,206.64,206.43283412046023,34.032357868198844,0.0
52,208.54,206.5,206.4353703487221,54.511171811636096,0.0
53,207.4899,205.37,206.43676416089409,44.050632813293326,0.0
54,206.86,204.38,206.40177770997445,45.00123358083687,4.159999999999997
55,207.34,204.89,206.40797301527402,36.32339339856253,0.0
56,206.8,204.23,206.38233194399447,46.92901332892627,0.0
57,206.3,203.63,206.37569749426564,42.10602599843299,0.0
58,204.54,202.78,206.35451611124356,44.237911450154165,0.0
59,206.1,204.86,206.34972030421204,37.66996744818282,4.560000000000002
60,205.84,204.985,206.33811227380278,49.41754123032383,0.0
61,208.24,206.14,206.35105217128978,48.89570959721933,0.0
62,209.77,207.8691,206.46572113765112,69.34455965380708,0.0
63,209.71,208.97,206.58031665248203,88.2602872570486,0.0
64,210.25,209.47,207.0319147548929,65.08135489365588,5.264999999999986
65,211.77,210.51,209.69885158946602,69.27654219204881,0.0
66,212.34,211.5,210.308389384008,82.43918793367166,0.0
67,212.52,211.6899,210.857582995365,83.19642507453347,0.0
68,212.22,211.19,211.04486185434837,88.35546720338867,0.0
69,210.86,209.43,211.0291822508027,82.05337582598195,3.0900000000000034
70,210.37,208.35,210.91987491115123,33.30356412766561,0.0
71,208.74,206.9199,210.78736787789114,23.704787973562603,0.0
72,209.36,207.53,210.592321232538,13.149859200301435,0.0
73,208.57,205.59,210.44113121613802,33.059236102105615,0.0
74,207.2,205.75,210.05947147465633,35.63628853263353,4.780000000000001
75,209.61,207.75,209.88129061047823,27.23701057225847,0.0
76,208.92,207.78,209.77281846429045,38.638954679634686,0.0
77,209.5,207.93,209.56171482039545,40.67372648292745,0.0
78,210.87,209.27,209.58198540772756,39.93853219654027,0.0
79,210.8463,202.72,208.99273106550427,76.84035637416599,8.150000000000006
80,201.6,198.65,207.9023241415824,24.050536570515263,0.0
81,203.23,201.12,207.72797665818717,22.236323357045507,0.0
82,206.93,204.72,207.71986110194027,38.876081353593825,0.0
83,209.54,206.56,207.73441233233223,51.5457094419706,0.0
84,210.49,209.29,207.77358001269562,60.41530721788368,11.840000000000003
85,214.07,212.95,208.60275602865616,62.57681354345964,0.0
86,215.3,214.25,210.62228756089934,63.673493128863576,0.0
87,215.45,214.35,211.8376852710232,67.10049755484144,0.0
88,216.67,215.66,212.93466870139582,64.69070456547932,0.0
89,217.0125,215.308,213.4849505161239,81.58583409504864,4.0625
90,216.6,215.67,214.0564015685656,59.86540200039002,0.0
91,216.23,215.63,214.7320625863321,60.079324695398014,0.0
92,217.37,216.24,215.48174726277537,59.424492871721505,0.0
93,217.22,215.75,215.6531002697005,60.42974906655371,0.0
94,217.3,216.1,215.94745359727466,58.734681545185985,1.740000000000009
95,217.06,215.97,216.02067065244003,61.9298805248878,0.0
96,217.17,215.76,216.063459568401,61.9118263049915,0.0
97,217.27,215.62,216.085167126188,75.51878269222446,0.0
98,217.11,215.75,216.1000442002298,66.51961685234917,0.0
99,217.54,216.13,216.14796225810608,66.54551724427637,1.9199999999999875
100,217.65,216.405,216.16075523137184,64.67863512705063,0.0
101,216.83,214.57,216.15001724981755,46.69905834385045,0.0
102,216.245,215.13,216.1519807669704,22.113974447983807,0.0
103,216.78,214.25,216.1541817131264,49.37664221796116,0.0
104,218.23,217.07,216.20258628572088,49.07213952041168,3.9799999999999898
105,218.52,217.74,216.29512429898256,71.8148838738791,0.0
106,218.76,217.8,216.3958367435349,68.37091823040856,0.0
107,218.4038,217.23,216.43672117311107,66.62792697343937,0.0
108,218.94,217.95,216.56451295156896,55.29067611444551,0.0
109,218.71,217.99,216.6261107665468,66.993296907349,1.710000000000008
110,219.5,218.88,216.78452502966994,63.07834440522615,0.0
111,218.68,217.96,216.88143502800676,69.0091748754411,0.0
112,218.53,217.02,216.99042669228425,55.10408662815713,0.0
113,218.9,218.21,217.1497470307691,57.35120598445161,0.0
114,218.75,217.74,217.16762620681067,62.04530545892542,2.4799999999999898
115,218.8,217.83,217.18618434869376,64.43525099094994,0.0
116,219.6,218.9,217.22168153657572,61.61148363670138,0.0
117,218.91,217.36,217.22700229812833,64.49737296102882,0.0
118,218.19,217.22,217.24181303233132,44.92043392695937,0.0
119,219.12,216.25,217.24326683354047,43.065777069193324,3.3499999999999943
120,218.665,217.4,217.26642293401628,38.599043806968126,0.0
121,218.59,217.35,217.2696275852135,53.340185467120264,0.0
122,217.75,216.465,217.27509230691803,45.11328461189271,0.0
123,217.73,216.03,217.28199587932187,40.9318874933721,0.0
124,218.87,217.7,217.2903337220795,36.58822829978212,2.8400000000000034
125,214.88,213.03,216.08195992588657,36.815467314497454,0.0
126,214.59,213.38,215.88006462760578,37.40043797006593,0.0
127,216.03,213.44,215.87836349940343,38.10397897971292,0.0
128,217.53,216.71,215.89295049883955,49.289783668778036,0.0
129,216.88,215.88,215.89572622559018,53.00730430667576,4.5
130,215.23,214.01,215.85483377590808,47.30295237043324,0.0
131,215.68,213.62,215.84566425034066,41.54199178305651,0.0
132,216.82,214.71,215.88546455732975,47.55460613950714,0.0
133,216.87,214.04,215.87520264182515,59.75304270678114,0.0
134,217.12,215.36,215.89272710763012,46.30435485498415,3.5
135,216.04,215.04,215.8893709171031,58.44236893790419,0.0
136,216.17,213.99,215.87265335781873,55.95519252074322,0.0
137,216.13,215.33,215.87134535279165,47.010709260246,0.0
138,216.04,214.735,215.86963239992818,55.202701732462955,0.0
139,216.3,214.19,215.8585386173903,55.8233777734927,2.3100000000000023
140,216.7,215.985,215.8676654571115,51.57627853641261,0.0
141,215.74,212.58,215.79533239406865,52.642533855340176,0.0
142,214.32,213.01,215.69212687146322,37.09093229890041,0.0
143,213.59,211.21,215.61822840528896,36.649863938468926,0.0
144,214.69,213.03,215.40452863614004,40.438418503595805,5.489999999999981
145,213.39,212.17,215.12863695695833,37.53206449169705,0.0
146,214.31,213.27,215.10447182744684,30.784693525868988,0.0
147,214.64,213.6,215.08323573171708,45.325378506289205,0.0
148,214.53,213.11,215.03714483441968,44.96457972262096,0.0
149,214.08,212.76,215.0153724681481,43.66625211379941,2.469999999999999
150,215.32,214.48,215.01209491348376,47.55460237778823,0.0
151,214.98,213.98,214.9954585862526,52.43674854659091,0.0
152,214.42,212.93,214.9897346954255,45.92325807166746,0.0
153,214.62,213.08,214.97782453084443,44.824371643223635,0.0
154,213.93,211.71,214.943252569754,36.45621718409149,3.609999999999985
155,213.19,212.36,214.92693583068856,39.43448707157033,0.0
156,212.99,209.6,214.47143368350237,21.033537322746383,0.0
157,211.1,209.23,213.3813944941845,0.29198210570919514,0.0
158,210.24,208.46,212.2556515470583,0.20987061547981511,0.0
159,209.89,208.38,211.27562183752477,0.16615441999988434,4.810000000000002
160,213.19,211.3,211.3236737325107,0.16595236296475946,0.0
161,214.77,212.38,211.33646009966952,64.50777102738539,0.0
162,217.1,212.34,211.51803803551735,69.30418871470258,0.0
163,218.31,215.22,211.82423222459587,83.93166629755586,0.0
164,216.7,215.32,212.10214466943367,66.26046666550405,7.009999999999991
165,217.27,215.72,212.38504620882273,64.80561468593919,0.0
166,218.28,216.8,213.3113682724555,57.45806938575044,0.0
167,218.14,217.42,214.28250550171575,60.54052695701019,0.0
168,219.06,217.92,215.74167172866186,72.15039793581272,0.0
169,219.27,218.29,216.5294919037044,75.20536539898644,3.5500000000000114
170,226.96,225.76,222.66648536064926,100.0,0.0
171,228.34,227.0,223.8154054627309,80.18385966348119,0.0
172,228.23,225.365,224.07563608704467,83.5431109546142,0.0
173,227.81,225.8904,224.6121336051121,66.62410998955724,0.0
174,226.08,224.67,224.65309169888974,72.71577440721308,3.670000000000016
175,227.0701,226.4163,224.86562439748334,63.86301068504791,0.0
176,227.45,226.01,224.88871358655368,58.417257610785065,0.0
177,227.1,225.59,224.92364705683997,59.8191019622556,0.0
178,226.75,224.955,225.02501757714185,61.01092807564385,0.0
179,227.4,226.69,225.1906711620397,59.59231586121897,2.494999999999976
180,228.2,226.41,226.1521771962173,65.30700807292997,0.0
181,227.6,226.32,226.18669590776244,52.952130594892424,0.0
182,228.59,226.94,226.21151605927795,51.091819917985326,0.0
183,228.1,226.82,226.28819953244303,53.620141829995525,0.0
184,229.55,228.46,226.50041595117048,53.222577211383395,3.230000000000018
185,229.326,228.54,226.69428734332067,66.99791543650237,0.0
186,229.6556,228.72,226.77865378369117,61.608247763348906,0.0
187,229.39,228.31,226.80736157498743,65.2639724938791,0.0
188,230.95,229.52,226.95742599782815,65.15001307019773,0.0
189,231.77,230.6216,227.39386285061653,75.72735843345848,3.460000000000008
190,237.31,236.35,236.45897442194553,79.12917645757759,0.0
191,236.95,236.015,236.46119369232088,79.42080042380205,0.0
192,240.32,238.37,237.33147191614978,83.5488878071364,0.0
193,239.57,238.21,237.41745240741028,89.31957234269797,0.0
194,238.61,237.73,237.52604774098862,73.11335348214696,4.305000000000007
195,238.12,237.01,237.5370544743331,71.94452051160047,0.0
196,237.77,236.76,237.5314043086105,63.71973807943692,0.0
197,237.64,236.4,237.5244140171339,55.01240637859422,0.0
198,237.24,235.74,237.5184830237702,52.14996382150126,0.0
199,238.02,236.59,237.5213058635032,53.292851153376134,2.3799999999999955
200,237.86,237.24,237.52498267291907,55.42807198375038,0.0
201,237.24,236.19,237.51954022115692,57.046944182524605,0.0
202,239.44,237.29,237.54340778674563,48.610956786215496,0.0
203,239.2,238.1,237.54992507794003,61.14058366373489,0.0
204,237.97,237.03,237.53502788334995,56.696172694005035,3.25
205,236.03,233.91,236.18516740315812,49.59531941149456,0.0
206,235.58,234.555,236.1315707176771,46.3989171694583,0.0
207,237.39,234.54,236.11109250886707,41.017433596585576,0.0
208,236.04,234.425,236.07934712350533,39.92581411789026,0.0
209,236.0,234.64,236.04127034331862,46.79930436275108,3.4799999999999898
210,237.41,234.5628,235.05982234087543,55.35829086788173,0.0
211,238.95,237.81,235.22501575040283,79.23819373025782,0.0
212,239.53,238.35,235.3863367237069,81.22130608957382,0.0
213,238.95,237.98,235.67618323886597,66.71265037280939,0.0
214,238.93,237.93,236.0212027832113,56.4009558578134,4.967199999999991
215,239.17,238.195,236.31643847656983,56.48186885968511,0.0
216,238.98,238.3,236.72407149332625,58.500269042534605,0.0
217,238.8775,237.7,237.03862075728924,63.48785386676404,0.0
218,238.9225,237.78,237.26869526354125,61.59606223454843,0.0
219,239.72,238.68,237.88190696940018,71.8849954373157,2.0200000000000102
220,239.92,239.17,238.16419868980776,79.48146674549301,0.0
221,240.19,239.04,238.22904546276172,81.28990611552584,0.0
222,239.87,239.15,238.38644950253726,74.39165246169466,0.0
223,239.57,238.13,238.42043400700823,81.77134248742823,0.0
224,239.4273,238.67,238.44461637877149,65.520827803869,2.0600000000000023
225,240.44,239.45,238.59142220805808,51.60631978026089,0.0
226,240.67,239.63,238.67354988809154,67.4308495098377,0.0
227,238.64,235.75,238.4941131722424,59.23000987166848,0.0
228,237.75,235.43,238.4293712844666,15.400320840017642,0.0
229,239.08,237.27,238.42670981725897,29.505949428307346,5.239999999999981
230,239.71,238.82,238.43240140390597,47.03524792836387,0.0
231,240.24,239.51,238.44758325466643,57.810439773868055,0.0
232,240.73,239.93,238.4706718881093,56.80467350033664,0.0
233,242.08,240.96,238.5803056190196,57.80485369778445,0.0
234,241.9,241.45,238.7104812553025,63.17074151941783,3.2600000000000193
235,244.3,243.76,242.6221919387614,72.79133360905477,0.0
236,243.98,243.12,242.7258940233172,71.88520660122722,0.0
237,243.92,242.83,242.88819070814813,62.98801253853901,0.0
238,244.33,243.17,243.02920358256603,64.44553372248143,0.0
239,245.01,241.95,243.0559920511349,64.56507310109882,3.0600000000000023
240,243.42,242.38,243.07737856374374,63.70451006934195,0.0
241,244.61,243.5799,243.28360818795232,69.41203716542591,0.0
242,244.87,243.29,243.3924407928651,75.62192422613697,0.0
243,243.91,242.36,243.39758369920813,67.74935935503743,0.0
244,242.83,241.6337,243.35138303950384,60.92693893830904,3.2363
245,244.73,243.48,243.37120386551533,48.64447834115961,0.0
246,244.26,242.99,243.36889011025636,63.47104882407999,0.0
247,243.59,242.41,243.36260155364621,45.81795517875584,0.0
248,243.53,242.64,243.352149541991,42.81596298924159,0.0
249,243.51,242.47,243.3504418696235,42.52463844227189,2.319999999999993
250,244.38,243.045,243.35014384115505,57.07662472059445,0.0
251,243.38,241.31,243.16574065301168,47.61548659009541,0.0
252,243.715,242.23,243.1696380045417,33.45118679375999,0.0
253,243.72,239.955,243.10444820631724,51.35128447669435,0.0
254,242.71,241.575,243.08852099030568,40.26355513083832,4.424999999999983
255,242.8,241.76,242.92657083022664,44.20382178003676,0.0
256,242.55,240.85,242.91593287941402,49.05849730621245,0.0
257,244.2,243.3,242.96046074968314,48.124891394332565,0.0
258,244.55,243.76,242.98163962190313,58.3361430901736,0.0
259,245.97,244.31,243.29008967111923,59.71139952830651,5.1200000000000045
260,245.91,245.33,243.52811713907727,64.28722595589898,0.0
261,245.72,244.67,243.73899082079046,69.98283602831205,0.0
262,247.0,246.01,244.12453078787294,66.93183071354356,0.0
263,247.42,246.47,245.306927590057,81.31940868356877,0.0
264,246.91,246.18,245.8264573172915,81.13653494108917,2.75
265,246.98,246.28,246.13580103634544,77.62136573726869,0.0
266,247.8,247.16,246.60251351067672,60.582674437848425,0.0
267,247.79,247.13,246.87539504680882,61.002735440082006,0.0
268,248.0,245.68,246.95595959176117,61.53847770612168,0.0
269,247.06,246.13,246.9508145893695,61.29204095115254,2.319999999999993
270,247.48,246.53,246.93412285182828,80.18801760561135,0.0
271,247.5,246.716,246.98055393837893,71.26069990044493,0.0
272,247.6,246.37,246.99557448222097,75.04033648852113,0.0
273,247.34,246.64,246.99524840978424,71.84888674493406,0.0
274,247.79,246.97,247.0077243807854,59.63480261779698,1.4199999999999875
275,247.87,247.37,247.06352303126934,65.09536272231938,0.0
276,248.91,246.83,247.065235603171,64.4812664173091,0.0
277,247.31,246.06,247.06697288146265,51.20906866591208,0.0
278,246.44,243.7,246.59354818326304,51.31012905748912,0.0
279,244.8,243.75,246.34593919897026,5.711071019806482,5.210000000000008
280,246.79,245.55,246.34718088968523,19.44309608314049,0.0
281,247.0,246.16,246.3496191707118,50.357429749148224,0.0
282,247.57,246.45,246.35540129746974,48.1806230982082,0.0
283,246.6,243.09,246.13981586955867,55.984481184523965,0.0
284,244.189,242.2,245.83200664323022,27.554358214088722,5.3700000000000045
285,243.2,241.83,245.5340537268721,30.116671555249724,0.0
286,245.62,243.55,245.53208959379194,31.219003916065247,0.0
287,245.05,244.16,245.50208455780952,47.8537749446494,0.0
288,245.18,243.75,245.4932576381355,43.116539086221856,0.0
289,245.61,244.39,245.48621723875522,39.794655483016676,3.789999999999992
290,245.2,244.09,245.45312654263464,46.310088529616806,0.0
291,245.15,242.93,245.4361920245438,46.172487387013774,0.0
292,246.32,244.62,245.44420983788072,54.06958523831296,0.0
293,247.77,246.0473,245.7605557310688,59.89965437975886,0.0
294,248.33,247.67,246.1801521596106,62.676344040402576,5.400000000000006
295,250.12,249.28,248.13189889677452,56.76815257230307,0.0
296,250.07,249.6,248.46574650045488,57.687110445062636,0.0
297,250.19,248.92,248.71431688869458,59.143980665196715,0.0
298,249.98,249.185,248.7757840133544,59.39007581596706,0.0
299,249.63,249.02,248.85442399142414,61.962519127733614,1.2700000000000102
300,249.5532,248.08,248.8552771630224,67.12225184162185,0.0
301,249.7,248.805,248.86809961346086,56.64734548303106,0.0
302,250.49,248.87,248.8759926145392,58.3884565869012,0.0
303,250.44,249.63,248.89071404777113,68.40800048354228,0.0
304,251.32,250.13,249.16704515563967,66.77753599494866,3.2399999999999807
305,252.32,251.2926,249.62271425085282,87.72513679063087,0.0
306,252.89,252.23,250.13033569469897,92.11489958613652,0.0
307,253.44,252.56,250.63070926946088,100.0,0.0
308,254.68,253.196,251.93533107902036,100.0,0.0
309,254.7008,253.85,252.59145427958038,88.9862560625872,3.4081999999999937
310,254.7,253.65,252.97869845784138,83.88381508411261,0.0
311,255.05,253.98,253.46408678519796,77.09766437128954,0.0
312,255.02,254.32,253.9058648727747,76.01609442880864,0.0
313,255.06,254.365,254.06377017973168,75.94668110817628,0.0
314,255.27,254.64,254.23861741833213,72.17414957076825,1.6200000000000045
315,255.51,254.82,254.41688908777363,72.62763244644168,0.0
316,255.52,254.98,254.57922582313293,78.2299292031773,0.0
317,255.95,255.5,254.75249584102735,82.86180893757471,0.0
318,255.83,254.35,254.8281770396995,82.4901737742402,0.0
319,257.14,255.7744,255.27937664533982,81.94543818154067,2.789999999999992
320,257.51,256.02,255.36921578834762,85.79153958814378,0.0
321,256.83,256.15,255.48592297117776,67.53996388090621,0.0
322,256.31,254.0,255.48420265364786,66.62144208627683,0.0
323,256.3,255.48,255.48819301821186,51.69794844598651,0.0
324,257.89,255.6254,255.67786488081356,44.99318024551126,3.8899999999999864
325,257.6,256.41,255.71089392064175,68.92614254103805,0.0
326,257.44,256.805,255.76218763110265,58.485167882210966,0.0
327,258.43,257.07,255.8272281381705,62.30348867575699,0.0
328,257.75,256.19,255.89476404751142,63.62537117918611,0.0
329,258.5,257.3,255.966850837613,63.440162560526424,2.3100000000000023
330,259.0,258.22,256.215495964873,68.09491645175662,0.0
331,259.35,258.09,256.36628117455564,69.69441574840629,0.0
332,259.22,258.15,256.90133668608615,67.3899966127169,0.0
333,258.39,256.36,257.0105114748016,66.99934540657434,0.0
334,258.2926,257.37,257.0243444563979,60.19217428560675,2.990000000000009
335,258.59,257.27,257.14465952882495,57.86746277521893,0.0
336,257.85,256.52,257.157492631314,66.52108812588716,0.0
337,257.22,255.63,257.13219738375625,56.86145225873409,0.0
338,259.04,257.4748,257.16591334083614,34.10184206662582,0.0
339,258.5882,257.77,257.1750103861387,59.24686030811762,3.410000000000025
340,266.38,265.4793,263.5535613903884,78.97565759573189,0.0
341,267.32,266.345,263.9802970009378,79.41591692738433,0.0
342,267.56,266.65,264.37775565126805,81.70845010407379,0.0
343,267.22,265.6,264.3976162487313,80.69371356310332,0.0
344,267.04,265.39,264.5246704155921,68.0601692209801,2.170000000000016
345,274.1,272.98,269.94336455264863,90.97180640431137,0.0
346,275.25,274.081,271.09883146352973,82.62864739063153,0.0
347,274.42,272.92,271.8264585889646,88.25573003195527,0.0
348,276.12,274.56,272.98283467005365,83.9438133197504,0.0
349,278.11,276.0819,274.38685058130955,87.22596164889441,5.189999999999998
350,286.43,284.5,283.14683266165235,90.16256607886139,0.0
351,284.736,281.22,283.0604841129373,75.82867764339677,0.0
352,283.3,280.68,283.0270021376821,60.8897554056618,0.0
