,SPY_open,SPY_high,SPY_low,SPY_close,VBM,ATR,weekly_range
0,209.2,209.7295,207.2,208.27,0.0,0.0,0.0
1,206.48,208.289,205.78,206.99,0.0,0.0,0.0
2,206.2,208.68,204.18,205.33,0.0,0.0,0.0
3,205.44,207.43,205.14,205.86,0.0,0.0,0.0
4,203.38,204.14,201.51,201.88,0.0,0.0,8.21950000000001
5,193.05,193.41,189.82,192.11,-67.23038142747876,2.827142857142854,0.0
6,193.85,194.55,191.14,193.66,-69.12498372116517,2.9378571428571427,0.0
7,194.53,194.86,188.38,188.87,-68.64153805433466,3.2364285714285734,0.0
8,189.55,193.26,187.66,191.89,-65.07265031652817,3.4571428571428595,0.0
9,186.79,188.76,185.52,187.83,-64.71813948591519,3.847142857142856,9.340000000000003
10,192.5,194.58,191.84,193.65,-49.06550486929776,4.4378571428571485,0.0
11,191.9,191.97,189.54,190.11,-50.785879979828486,4.487857142857147,0.0
12,191.37,191.78,187.1,191.23,-46.59133307423239,4.359285714285718,0.0
13,190.72,192.75,189.96,191.53,-46.14749999999998,4.158571428571433,0.0
14,190.97,191.6696,187.2,187.98,-45.08647813589473,4.022828571428578,7.480000000000018
15,185.75,186.12,182.8,185.35,-44.67578463371574,4.1135428571428605,0.0
16,183.38,186.94,183.2,185.35,-45.80200072714444,3.877828571428576,0.0
17,186.44,188.34,185.12,185.31,-45.29271934233065,3.8056857142857177,0.0
18,182.38,184.1,181.09,183.03,-46.079511998965955,3.817114285714289,0.0
19,184.93,186.65,183.96,186.65,-44.30623402672184,3.851400000000002,7.25
20,195.08,196.23,193.33,193.56,-52.14749500450837,2.9971428571428578,0.0
21,195.05,198.21,194.4542,198.21,-49.106781171514186,3.0621428571428573,0.0
22,197.7,199.06,197.25,199.03,-51.75966077066834,2.961428571428572,0.0
23,198.7,199.795,198.11,199.77,-54.168800087113055,2.7803571428571416,0.0
24,200.0,201.35,199.03,200.36,-57.280918799305006,2.687499999999998,8.019999999999982
25,199.4,201.07,199.25,200.63,-57.52478757811314,2.591785714285712,0.0
26,199.3,199.92,198.21,198.36,-59.858175026601494,2.513928571428569,0.0
27,199.36,199.79,198.43,199.41,-62.35770492381939,2.505357142857138,0.0
28,199.9,201.07,197.38,199.54,-60.99923198394017,2.6453571428571365,0.0
29,201.25,202.81,199.5179,202.76,-61.61511003435394,2.669792857142852,5.430000000000007
30,202.2,203.04,201.77,202.53,-64.51359072170246,2.571221428571422,0.0
31,201.32,202.5307,201.05,202.2,-66.95175036092044,2.37627142857142,0.0
32,201.62,203.82,201.55,203.39,-68.14735983154975,2.344128571428562,0.0
33,203.26,205.23,202.77,204.79,-72.3995826661127,2.3926999999999885,0.0
34,204.2,204.78,203.8,204.52,-75.56999930918293,2.2562714285714174,4.179999999999978
35,206.84,207.07,205.89,206.29,-97.94185950382202,1.7254071428571365,0.0
36,204.64,206.2642,203.89,204.14,-99.20435044239932,1.7910714285714238,0.0
37,204.27,206.49,203.98,206.46,-98.53702705938724,1.8082142857142836,0.0
38,205.18,205.56,203.09,203.89,-102.4047013002947,1.8732142857142853,0.0
39,205.32,205.85,203.87,204.48,-101.70949968286023,1.9439285714285717,3.9799999999999898
40,208.28,208.66,207.54,208.59,-111.9356951267748,1.8515785714285715,0.0
41,209.02,209.52,208.36,209.0,-111.95703435399716,1.7551499999999984,0.0
42,208.46,209.81,208.05,209.38,-109.73051888025402,1.6401499999999973,0.0
43,208.49,209.76,206.96,207.42,-110.3502077925851,1.6987214285714256,0.0
44,206.71,207.13,205.03,206.3,-111.36388230417899,1.7151499999999962,4.780000000000001
45,206.9,208.18,206.41,208.03,-109.52972126755127,1.6672928571428522,0.0
46,206.5,206.8,205.28,206.13,-106.84707908836414,1.713007142857139,0.0
47,205.0,205.85,204.42,204.96,-111.4149313394379,1.7637214285714253,0.0
48,205.57,205.98,204.47,204.95,-112.40209166212306,1.816428571428568,0.0
49,204.04,205.77,203.88,205.7,-110.37830539613286,1.788571428571426,4.300000000000011
50,205.58,206.4,205.36,205.89,-113.85453410784,1.7728571428571402,0.0
51,206.64,208.5,206.64,208.46,-109.30811828485757,1.8499999999999983,0.0
52,207.89,208.54,206.5,206.5,-110.74499465247138,1.8814285714285697,0.0
53,207.29,207.4899,205.37,206.55,-112.0333387675254,1.93427857142857,0.0
54,206.23,206.86,204.38,204.72,-115.50039433813467,2.009992857142856,4.159999999999997
55,204.95,207.34,204.89,206.81,-110.785711359633,2.114278571428571,0.0
56,206.44,206.8,204.23,204.82,-109.70878518338007,2.172850000000001,0.0
57,204.44,206.3,203.63,204.91,-111.21713058628096,2.163564285714289,0.0
58,204.0,204.54,202.78,204.24,-109.52411809971242,2.144992857142861,0.0
59,204.95,206.1,204.86,205.49,-105.79156880697427,2.1435642857142887,4.560000000000002
60,205.48,205.84,204.985,205.16,-105.77745807741299,2.0082071428571453,0.0
61,206.15,208.24,206.14,207.87,-103.50690172499114,2.1060642857142886,0.0
62,208.64,209.77,207.8691,209.26,-101.7181227760413,2.133985714285718,0.0
63,209.47,209.71,208.97,209.34,-105.87533692457986,2.051842857142861,0.0
64,209.55,210.25,209.47,210.21,-104.85146900317778,2.0425571428571465,5.264999999999986
65,210.71,211.77,210.51,211.39,-102.96551903069296,1.7904285714285717,0.0
66,211.56,212.34,211.5,211.7,-105.13069726440887,1.6740000000000006,0.0
67,211.8,212.52,211.6899,212.39,-108.43707997311814,1.542578571428572,0.0
68,211.49,212.22,211.19,212.04,-111.9107367689835,1.47615,0.0
69,210.43,210.86,209.43,210.03,-113.87940212068297,1.5297214285714287,3.0900000000000034
70,209.34,210.37,208.35,208.42,-115.06024096385529,1.6129357142857157,0.0
71,207.97,208.74,206.9199,208.09,-115.49863836088595,1.5229428571428574,0.0
72,208.57,209.36,207.53,207.78,-114.71135631306255,1.517878571428572,0.0
73,206.74,208.57,205.59,208.35,-113.39308694747976,1.6778785714285707,0.0
74,207.14,207.2,205.75,206.53,-113.29659793877383,1.7985928571428562,4.780000000000001
75,208.84,209.61,207.75,207.91,-111.05214610012327,1.910735714285715,0.0
76,208.26,208.92,207.78,208.41,-113.1554869918065,1.8785928571428567,0.0
77,208.69,209.5,207.93,208.03,-117.0638331774858,1.8700142857142847,0.0
78,209.83,210.87,209.27,210.87,-115.22555999015769,1.9257285714285726,0.0
79,204.0,210.8463,202.72,203.13,-107.84636632095847,2.401442857142858,8.150000000000006
80,201.59,201.6,198.65,199.53,-104.6549146563129,2.6535857142857133,0.0
81,201.66,203.23,201.12,203.22,-97.83466548202036,2.8585785714285685,0.0
82,204.83,206.93,204.72,206.71,-90.3318717221219,3.037864285714284,0.0
83,207.18,209.54,206.56,209.53,-88.9829947069618,3.064292857142856,0.0
84,209.29,210.49,209.29,209.79,-89.64465661198086,3.0057214285714275,11.840000000000003
85,213.16,214.07,212.95,213.45,-81.23183299228835,2.95567857142857,0.0
86,214.51,215.3,214.25,215.0,-83.15694534473393,3.0063928571428584,0.0
87,215.42,215.45,214.35,214.93,-77.42573117072916,2.9728214285714296,0.0
88,216.34,216.67,215.66,216.11,-73.13533119002702,2.8942499999999995,0.0
89,216.79,217.0125,215.308,215.84,-75.18269990791048,2.433857142857142,4.0625
90,215.95,216.6,215.67,216.41,-78.03077504299705,2.180285714285714,0.0
91,215.88,216.23,215.63,216.18,-82.66010176434362,1.9717142857142866,0.0
92,216.75,217.37,216.24,217.13,-83.5718856028744,1.791714285714286,0.0
93,216.92,217.22,215.75,216.22,-83.25446243254464,1.6838571428571438,0.0
94,216.39,217.3,216.1,217.25,-84.82581768918136,1.6838571428571438,1.740000000000009
95,217.0,217.06,215.97,216.64,-87.28177235340938,1.6267142857142878,0.0
96,216.53,217.17,215.76,216.75,-91.77013905335451,1.531714285714287,0.0
97,217.17,217.27,215.62,216.51,-94.82941543582275,1.5053214285714307,0.0
98,216.26,217.11,215.75,216.8,-95.730864879801,1.3596071428571455,0.0
99,216.45,217.54,216.13,217.15,-95.77549182599053,1.3624642857142877,1.9199999999999875
100,217.15,217.65,216.405,216.93,-99.69082263263812,1.3192500000000007,0.0
101,216.64,216.83,214.57,215.52,-111.60189836970542,1.4092500000000021,0.0
102,215.45,216.245,215.13,216.23,-119.83104226071399,1.3646071428571471,0.0
103,216.3,216.78,214.25,216.43,-122.51614874301657,1.4235714285714332,0.0
104,217.19,218.23,217.07,218.14,-127.95737122557715,1.4857142857142887,3.9799999999999898
105,218.39,218.52,217.74,218.05,-133.6275590928703,1.4857142857142887,0.0
106,218.12,218.76,217.8,218.22,-135.58566812943045,1.4692857142857159,0.0
107,218.29,218.4038,217.23,217.63,-138.21060052553983,1.448128571428573,0.0
108,218.25,218.94,217.95,218.68,-142.7090945326512,1.4559857142857149,0.0
109,218.26,218.71,217.99,218.41,-147.46592738045828,1.4159857142857146,1.710000000000008
110,218.89,219.5,218.88,219.09,-156.9807730738593,1.3931285714285724,0.0
111,218.56,218.68,217.96,217.96,-159.396740562736,1.3559857142857143,0.0
112,217.98,218.53,217.02,218.38,-160.3076544495727,1.3666999999999985,0.0
113,218.31,218.9,218.21,218.9,-159.69633710981728,1.315271428571427,0.0
114,218.34,218.75,217.74,218.56,-163.7714491008089,1.3091999999999981,2.4799999999999898
115,218.25,218.8,217.83,218.51,-167.74420746573236,1.2099142857142826,0.0
116,219.23,219.6,218.9,218.93,-169.27671505340905,1.208128571428568,0.0
117,218.8,218.91,217.36,217.88,-166.0254346897331,1.139557142857139,0.0
118,217.4,218.19,217.22,217.66,-167.52999664249657,1.0802714285714257,0.0
119,217.9,219.12,216.25,217.28,-160.30751998370752,1.2295571428571404,3.3499999999999943
120,217.43,218.665,217.4,218.34,-160.23388521840926,1.259914285714284,0.0
121,218.25,218.59,217.35,217.98,-160.28260110200912,1.264642857142856,0.0
122,217.64,217.75,216.465,217.44,-161.1974002774986,1.279285714285712,0.0
123,217.38,217.73,216.03,217.37,-159.37431634215727,1.3492857142857113,0.0
124,218.36,218.87,217.7,218.36,-158.64199945241936,1.3785714285714252,2.8400000000000034
125,214.1,214.88,213.03,213.41,-121.09821240799184,2.313928571428566,0.0
126,214.43,214.59,213.38,213.42,-119.78184845961722,2.311785714285709,0.0
127,214.22,216.03,213.44,215.82,-115.88781275221974,2.3899999999999966,0.0
128,216.99,217.53,216.71,217.18,-114.59912245712022,2.390714285714284,0.0
129,216.73,216.88,215.88,215.99,-115.61746445023043,2.37642857142857,4.5
130,215.02,215.23,214.01,214.24,-113.0862944162437,2.4278571428571434,0.0
131,214.03,215.68,213.62,215.57,-105.29201841903304,2.509285714285716,0.0
132,215.81,216.82,214.71,216.64,-105.52309425460015,2.59857142857143,0.0
133,216.39,216.87,214.04,214.68,-100.12363636363644,2.4250000000000034,0.0
134,215.67,217.12,215.36,216.3,-97.7268659387865,2.277857142857146,3.5
135,215.81,216.04,215.04,215.78,-99.4351851851852,2.0892857142857184,0.0
136,215.86,216.17,213.99,214.68,-99.39715161348482,2.087857142857146,0.0
137,215.37,216.13,215.33,215.63,-98.87350319618265,1.9785714285714318,0.0
138,215.39,216.04,214.735,215.78,-98.69712230215836,1.878214285714287,0.0
139,216.06,216.3,214.19,215.04,-100.21532164783349,1.8967857142857167,2.3100000000000023
140,216.14,216.7,215.985,216.16,-101.02751313329183,1.928928571428573,0.0
141,215.64,215.74,212.58,213.43,-97.57534128960255,1.9982142857142853,0.0
142,213.61,214.32,213.01,213.71,-95.80543879214211,1.9696428571428564,0.0
143,212.15,213.59,211.21,213.01,-94.73615635179155,2.055357142857141,0.0
144,214.14,214.69,213.03,213.12,-94.32578067067642,2.033928571428569,5.489999999999981
145,213.07,213.39,212.17,212.38,-99.59360932121103,1.9739285714285688,0.0
146,214.24,214.31,213.27,213.71,-105.24530744336566,1.9610714285714275,0.0
147,214.0,214.64,213.6,214.28,-110.30518402811676,1.833214285714283,0.0
148,213.85,214.53,213.11,213.88,-111.08317636561912,1.7603571428571396,0.0
149,212.95,214.08,212.76,213.98,-115.82327011788819,1.764642857142854,2.469999999999999
150,214.98,215.32,214.48,214.89,-118.83598776500362,1.7046428571428558,0.0
151,214.7,214.98,213.98,214.17,-120.58124798625273,1.6724999999999994,0.0
152,213.22,214.42,212.93,213.74,-121.34258567310769,1.6857142857142853,0.0
153,214.57,214.62,213.08,213.17,-121.4015077023927,1.644999999999998,0.0
154,213.13,213.93,211.71,212.54,-120.7321447866019,1.6849999999999983,3.609999999999985
155,212.95,213.19,212.36,212.55,-121.17061456172918,1.4885714285714269,0.0
156,212.9,212.99,209.6,211.01,-118.52123265911271,1.6371428571428563,0.0
157,210.67,211.1,209.23,209.74,-118.88399787347169,1.5921428571428566,0.0
158,210.01,210.24,208.46,208.78,-121.7398008352073,1.5992857142857133,0.0
159,208.91,209.89,208.38,208.55,-126.06633608815443,1.6199999999999986,4.810000000000002
160,211.47,213.19,211.3,213.15,-117.28554913294815,1.8135714285714255,0.0
161,212.72,214.77,212.38,214.11,-114.15871060466087,1.9099999999999986,0.0
162,212.47,217.1,212.34,216.44,-108.15716096324472,2.1485714285714272,0.0
163,217.35,218.31,215.22,216.92,-103.86244685876248,2.2749999999999977,0.0
164,216.13,216.7,215.32,216.42,-103.11086057872987,2.2935714285714255,7.009999999999991
165,216.99,217.27,215.72,216.59,-103.56057728826438,2.3328571428571405,0.0
166,217.0,218.28,216.8,218.28,-102.0459290187892,2.347142857142856,0.0
167,217.52,218.14,217.42,217.87,-107.82429457674606,2.298571428571429,0.0
168,218.04,219.06,217.92,218.99,-105.89327983951856,2.2250000000000005,0.0
169,219.04,219.27,218.29,218.5,-108.12083591971859,2.2357142857142884,3.5500000000000114
170,226.42,226.96,225.76,226.25,-122.9642069721995,1.3965785714285712,0.0
171,227.01,228.34,227.0,227.76,-121.48957829141708,1.4701499999999998,0.0
172,227.41,228.23,225.365,225.88,-126.24031821496206,1.602649999999999,0.0
173,226.13,227.81,225.8904,226.81,-127.52349037687249,1.67907857142857,0.0
174,225.99,226.08,224.67,225.04,-136.07750181356752,1.7490785714285713,3.670000000000016
175,226.9,227.0701,226.4163,226.46,-147.8201894963176,1.2931214285714288,0.0
176,226.47,227.45,226.01,226.46,-147.5160571503473,1.3259785714285701,0.0
177,226.38,227.1,225.59,227.1,-144.68883426057707,1.3595499999999987,0.0
178,226.5,226.75,224.955,226.53,-143.96220190172306,1.4641928571428562,0.0
179,226.75,227.4,226.69,227.05,-145.10403750151602,1.4656214285714262,2.494999999999976
180,228.18,228.2,226.41,227.55,-160.50956454947328,1.4735714285714303,0.0
181,227.01,227.6,226.32,227.53,-157.1481788190395,1.4621428571428592,0.0
182,228.28,228.59,226.94,227.62,-154.49772653927582,1.47214285714286,0.0
183,227.24,228.1,226.82,227.77,-150.26810720173222,1.4103571428571473,0.0
184,228.85,229.55,228.46,229.34,-147.01352295572795,1.475357142857147,3.230000000000018
185,228.89,229.326,228.54,228.93,-152.008855383921,1.4432142857142907,0.0
186,229.36,229.6556,228.72,228.94,-153.5950412135974,1.445757142857147,0.0
187,228.59,229.39,228.31,229.24,-156.79020689767023,1.4093285714285742,0.0
188,229.57,230.95,229.52,230.6,-160.43165665273776,1.4314714285714294,0.0
189,231.0,231.77,230.6216,231.51,-164.12908736442455,1.4054000000000022,3.460000000000008
190,236.61,237.31,236.35,237.11,-160.19516376834162,1.3009857142857137,0.0
191,236.71,236.95,236.015,236.47,-164.0189985346871,1.3123714285714303,0.0
192,238.4,240.32,238.37,239.78,-152.9895515936189,1.510228571428574,0.0
193,239.57,239.57,238.21,238.27,-157.24344577261624,1.500228571428575,0.0
194,238.19,238.61,237.73,238.42,-163.15910635592252,1.4795142857142898,4.305000000000007
195,237.48,238.12,237.01,237.71,-162.2466316117721,1.4688000000000037,0.0
196,237.39,237.77,236.76,237.0,-161.68095283957723,1.4302285714285756,0.0
197,237.31,237.64,236.4,236.56,-168.45041986976804,1.3938000000000028,0.0
198,236.71,237.24,235.74,236.86,-169.2205916402966,1.4077285714285739,0.0
199,237.95,238.02,236.59,237.69,-169.35172551499195,1.427014285714289,2.3799999999999955
200,237.59,237.86,237.24,237.81,-172.65613523622247,1.3570142857142895,0.0
201,237.22,237.24,236.19,236.9,-174.55418459198359,1.4220142857142914,0.0
202,237.56,239.44,237.29,238.95,-165.4196458511362,1.5077285714285762,0.0
203,239.12,239.2,238.1,238.48,-164.1204850416764,1.4875000000000032,0.0
204,237.75,237.97,237.03,237.03,-168.09496390603823,1.522500000000002,3.25
205,235.79,236.03,233.91,235.33,-146.13584554547555,1.8432142857142841,0.0
206,235.0,235.58,234.555,235.48,-144.07339449541274,1.7349999999999994,0.0
207,236.26,237.39,234.54,234.78,-138.535148404374,1.8599999999999994,0.0
208,234.96,236.04,234.425,235.44,-141.69160305343516,1.871785714285713,0.0
209,235.18,236.0,234.64,235.2,-143.2163342381683,1.8946428571428555,3.4799999999999898
210,237.17,237.41,234.5628,237.17,-126.95651808489637,1.8162285714285693,0.0
211,237.93,238.95,237.81,238.55,-126.04972225816016,1.8701571428571404,0.0
212,238.53,239.53,238.35,238.4,-125.50403435548111,1.750871428571427,0.0
213,238.74,238.95,237.98,238.6,-134.0841114434407,1.7047999999999999,0.0
214,238.93,238.93,237.93,238.08,-135.7502553878972,1.6790857142857132,4.967199999999991
215,238.66,239.17,238.195,238.68,-136.1858961184871,1.6480142857142823,0.0
216,238.82,238.98,238.3,238.77,-138.7637348380129,1.5537285714285665,0.0
217,238.29,238.8775,237.7,238.48,-145.35151734016503,1.5456928571428534,0.0
218,238.81,238.9225,237.78,238.76,-149.84018000513458,1.4858714285714245,0.0
219,239.16,239.72,238.68,239.7,-148.83085730411847,1.413014285714281,2.0200000000000102
220,239.77,239.92,239.17,239.66,-153.27760084925717,1.3601571428571393,0.0
221,239.94,240.19,239.04,239.44,-151.1937064636321,1.3158714285714268,0.0
222,239.37,239.87,239.15,239.87,-159.9755426795988,1.1955142857142838,0.0
223,239.31,239.57,238.13,239.38,-159.20581522943078,1.2333714285714268,0.0
224,239.05,239.4273,238.67,238.98,-168.3475135790034,1.0840928571428574,2.0600000000000023
225,239.49,240.44,239.45,240.3,-168.406950197542,1.061235714285715,0.0
226,240.64,240.67,239.63,240.08,-169.30532761450314,1.0512357142857138,0.0
227,238.09,238.64,235.75,235.82,-160.7813720093704,1.291235714285715,0.0
228,235.7,237.75,235.43,236.77,-158.96646732436938,1.3855214285714286,0.0
229,237.36,239.08,237.27,238.31,-153.58853451156577,1.4726642857142878,5.239999999999981
230,238.87,239.71,238.82,239.52,-155.40124813219663,1.5240928571428611,0.0
231,239.98,240.24,239.51,240.05,-161.68305641798412,1.4921285714285761,0.0
232,240.33,240.73,239.93,240.61,-164.19423537348376,1.4676642857142883,0.0
233,241.22,242.08,240.96,241.76,-164.40539207189425,1.4983785714285744,0.0
234,241.59,241.9,241.45,241.71,-174.1135759400187,1.4769500000000042,3.2600000000000193
235,244.02,244.3,243.76,243.99,-178.40210023118198,1.4621428571428592,0.0
236,243.34,243.98,243.12,243.21,-181.21238346249146,1.4500000000000028,0.0
237,243.61,243.92,242.83,243.66,-183.2815388851735,1.2185714285714286,0.0
238,243.8,244.33,243.17,243.78,-182.44117480381615,1.1357142857142881,0.0
239,244.07,245.01,241.95,243.41,-173.7920010844452,1.1892857142857167,3.0600000000000023
240,243.09,243.42,242.38,243.36,-175.15811177858376,1.16357142857143,0.0
241,243.98,244.61,243.5799,244.55,-174.93503166062703,1.2007142857142858,0.0
242,244.86,244.87,243.29,244.24,-171.09056243517367,1.2564285714285737,0.0
243,242.69,243.91,242.36,243.77,-167.75709126608433,1.2857142857142878,0.0
244,242.83,242.83,241.6337,242.64,-162.26697425026467,1.4061642857142869,3.2363
245,243.61,244.73,243.48,244.66,-162.02308745842276,1.5104500000000018,0.0
246,244.23,244.26,242.99,243.01,-160.44199284138597,1.541164285714286,0.0
247,243.46,243.59,242.41,242.95,-161.38239905968885,1.4868785714285724,0.0
248,242.96,243.53,242.64,242.84,-161.0393044858019,1.4597357142857175,0.0
249,242.88,243.51,242.47,243.13,-176.18179446835532,1.4954500000000013,2.319999999999993
250,243.93,244.38,243.045,243.29,-181.19213838003125,1.5286642857142871,0.0
251,243.01,243.38,241.31,241.33,-183.35253208010016,1.5986642857142885,0.0
252,242.51,243.715,242.23,243.49,-176.66574478367863,1.686164285714286,0.0
253,243.62,243.72,239.955,241.35,-165.8842222639984,1.7365214285714277,0.0
254,242.3,242.71,241.575,241.8,-162.81970892049756,1.7593785714285721,4.424999999999983
255,241.98,242.8,241.76,242.37,-151.65467901598265,1.6989285714285711,0.0
256,242.12,242.55,240.85,242.19,-150.08404198068794,1.7010714285714303,0.0
257,243.31,244.2,243.3,244.01,-144.2912353125794,1.7603571428571436,0.0
258,244.02,244.55,243.76,244.42,-144.50245918758438,1.753214285714287,0.0
259,244.4,245.97,244.31,245.56,-139.65605906486653,1.7975000000000014,5.1200000000000045
260,245.44,245.91,245.33,245.53,-144.11186075713988,1.7435714285714283,0.0
261,245.06,245.72,244.67,245.66,-148.3236384902517,1.6707142857142867,0.0
262,246.01,247.0,246.01,246.99,-146.9932833627628,1.5960714285714306,0.0
263,247.25,247.42,246.47,247.1,-148.49884359815448,1.395000000000002,0.0
264,246.43,246.91,246.18,246.88,-151.7476822698227,1.3635714285714289,2.75
